Hazard Time,Alert Time,Person Class,Object Class,Response Time
7.567775011062622,8.088373184204102,person,chair,0.5205981731414795
7.567775011062622,9.12459397315979,person,chair,1.556818962097168
9.033452987670898,9.536363124847412,person,chair,0.5029101371765137
9.033452987670898,10.553756475448608,person,chair,1.52030348777771
14.776868343353271,15.292974710464478,person,cell phone,0.516106367111206
14.776868343353271,16.323439836502075,person,cell phone,1.5465714931488037
14.776868343353271,17.35197615623474,person,cell phone,2.5751078128814697
14.776868343353271,18.588523864746094,person,cell phone,3.8116555213928223
14.776868343353271,19.09787631034851,person,cell phone,4.321007966995239
14.776868343353271,20.627258777618408,person,cell phone,5.850390434265137
14.776868343353271,21.13853669166565,person,cell phone,6.361668348312378
14.776868343353271,22.680681228637695,person,cell phone,7.903812885284424
14.776868343353271,23.19383144378662,person,cell phone,8.41696310043335
14.776868343353271,24.745286464691162,person,cell phone,9.96841812133789
14.776868343353271,25.256012678146362,person,cell phone,10.47914433479309
25.261743307113647,25.763859272003174,person,cell phone,0.5021159648895264
25.261743307113647,26.280423164367676,person,cell phone,1.0186798572540283
25.261743307113647,27.81630229949951,person,cell phone,2.5545589923858643
25.261743307113647,28.32836103439331,person,cell phone,3.066617727279663
25.261743307113647,29.86928629875183,person,cell phone,4.607542991638184
25.261743307113647,30.385411739349365,person,cell phone,5.123668432235718
25.261743307113647,31.92926049232483,person,cell phone,6.667517185211182
25.261743307113647,32.43153381347656,person,cell phone,7.169790506362915
30.424960613250732,30.92857027053833,person,donut,0.5036096572875977
30.424960613250732,31.951586484909058,person,donut,1.5266258716583252
8.609025716781616,9.126213073730469,person,tie,0.5171873569488525
8.609025716781616,10.167643785476685,person,tie,1.5586180686950684
9.925551891326904,10.43431830406189,person,tie,0.5087664127349854
9.925551891326904,11.455760478973389,person,tie,1.5302085876464844
9.925551891326904,12.67130970954895,person,tie,2.745757818222046
9.925551891326904,13.696988821029663,person,tie,3.771436929702759
12.557782411575317,13.070806980133057,person,tie,0.5130245685577393
12.557782411575317,14.097242832183838,person,tie,1.5394604206085205
13.792651414871216,14.30076813697815,person,tie,0.5081167221069336
13.792651414871216,15.320713996887207,person,tie,1.5280625820159912
18.232205629348755,18.742578744888306,person,tv,0.5103731155395508
18.232205629348755,19.766581535339355,person,tv,1.5343759059906006
20.140493154525757,20.642160892486572,person,tie,0.5016677379608154
20.140493154525757,21.660797834396362,person,tie,1.5203046798706055
20.140493154525757,22.901432991027832,person,bottle,2.760939836502075
20.140493154525757,23.928566217422485,person,bottle,3.7880730628967285
20.140493154525757,25.14343237876892,person,bottle,5.002939224243164
20.140493154525757,26.16685724258423,person,bottle,6.026364088058472
20.140493154525757,27.350532293319702,person,bottle,7.210039138793945
20.140493154525757,28.36719536781311,person,bottle,8.226702213287354
25.817357301712036,26.319193363189697,person,car,0.5018360614776611
25.817357301712036,27.33332324028015,person,car,1.5159659385681152
27.260143518447876,27.769043922424316,person,bottle,0.5089004039764404
27.260143518447876,28.79019069671631,person,bottle,1.5300471782684326
27.260143518447876,30.03101110458374,person,bottle,2.7708675861358643
27.260143518447876,30.54603362083435,person,refrigerator,3.2858901023864746
27.260143518447876,32.09284043312073,person,bottle,4.832696914672852
27.260143518447876,32.60753655433655,person,refrigerator,5.347393035888672
27.260143518447876,34.151466608047485,person,bottle,6.891323089599609
27.260143518447876,34.66538119316101,person,refrigerator,7.405237674713135
27.260143518447876,36.40319633483887,person,refrigerator,9.143052816390991
27.260143518447876,37.424062728881836,person,refrigerator,10.16391921043396
32.789331674575806,33.30109786987305,person,bottle,0.5117661952972412
32.789331674575806,34.326902866363525,person,bottle,1.5375711917877197
34.16758489608765,34.68015384674072,person,refrigerator,0.5125689506530762
34.16758489608765,35.70347499847412,person,refrigerator,1.5358901023864746
34.16758489608765,36.95564818382263,person,refrigerator,2.7880632877349854
34.16758489608765,37.977203369140625,person,refrigerator,3.8096184730529785
36.648865699768066,37.16415047645569,person,refrigerator,0.5152847766876221
36.648865699768066,38.19433069229126,person,refrigerator,1.5454649925231934
37.87031316757202,38.373499155044556,person,refrigerator,0.5031859874725342
37.87031316757202,39.39401197433472,person,refrigerator,1.5236988067626953
37.87031316757202,40.61491417884827,person,refrigerator,2.744601011276245
37.87031316757202,41.63138508796692,person,refrigerator,3.7610719203948975
41.526957988739014,42.04033279418945,person,car,0.5133748054504395
41.526957988739014,43.06549334526062,person,car,1.5385353565216064
